name, date, picture
PlayStation 5, 12/11/2020, playstation5.jpg
xbox 360, 22/11/2005, xbox360.jpg
Apple Watch SE 2, 16/09/2022, applewatchse2.jpg
Nintendo Switch, 03/03/2017, switch.jpg
Litra Glow, 12/01/2022, litraglow.jpg
Alexa, 06/11/2014, alexa.jpg
Atari 2600, 01/09/1977, atari.jpg
Super Nintendo, 21/11/1990, snes.jpg
Google Pixel 6, 28/10/2021, pixel6.jpg
Nokia 3310, 01/09/2000, nokia3310.jpg
PlayStation 1, 03/12/1994, playstation1.jpg
PlayStation 2, 04/03/2000, playstation2.jpg
First Mouse, 27/04/1981, mouse.jpg
Google Glass, 15/04/2013, googleglass.jpg
Koss Porta Pro, 01/01/1984, portapro.jpg
