name, date, picture
Amadeus, 19/09/1984, amadeus.jpg
Persepolis, 25/12/2007, persepolis.jpg
Coco, 18/01/2018, coco.jpg
Monsters University, 21/06/2013, monsters-university.jpg
Control, 05/10/2007, control.jpg
Shrek, 22/04/2001, shrek.jpg
Pelisky, 08/04/1999, pelisky.jpg
Rebelove, 08/02/2001, rebelove.jpg
West Side Story, 18/10/1961, west-side-story.jpg
Aliens, 18/07/1986, aliens.jpg
Psycho, 08/09/1960, psycho.jpg
Rocky, 03/12/1976, rocky.jpg
Star Wars, 25/05/1977, starwars.jpg
Ender's Game, 01/11/2013, endersgame.jpg
Jurassic Park, 11/06/1993, jurassicpark.jpg
Edge of Tomorrow, 06/06/2014, edgeoftomorrow.jpg
The Adjustment Bureau, 04/03/2011, adjustmentbureau.jpg
The Martian, 30/09/2015, martian.jpg
Good Will Hunting, 09/01/1998, goodwillhunting.jpg
Jumanji, 15/12/1995, jumanji.jpg
Philosopher's Stone, 16/11/2001, philosphersstone.jpg
